No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
15895,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI DAN TSUNAMI,26/12/2004,77804,0,0,34146
15885,11,PEMERINTAH ACEH,1108,ACEH BESAR,GEMPA BUMI DAN TSUNAMI,26/12/2004,47784,0,0,116984
15893,11,PEMERINTAH ACEH,1116,ACEH JAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,19661,143,0,29273
15884,11,PEMERINTAH ACEH,1107,ACEH BARAT,GEMPA BUMI DAN TSUNAMI,26/12/2004,11830,3024,0,59584
15886,11,PEMERINTAH ACEH,1109,PIDIE,GEMPA BUMI DAN TSUNAMI,26/12/2004,4646,1463,0,31078
15888,11,PEMERINTAH ACEH,1111,ACEH UTARA,GEMPA BUMI DAN TSUNAMI,26/12/2004,2238,488,384,28268
15887,11,PEMERINTAH ACEH,1110,BIREUEN,GEMPA BUMI DAN TSUNAMI,26/12/2004,1202,59,276,26758
15892,11,PEMERINTAH ACEH,1115,NAGAN RAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,493,845,0,10659
15898,11,PEMERINTAH ACEH,1174,KOTA LHOKSEUMAWE,GEMPA BUMI DAN TSUNAMI,26/12/2004,394,10,15,20084
15882,11,PEMERINTAH ACEH,1105,ACEH TIMUR,GEMPA BUMI DAN TSUNAMI,26/12/2004,224,0,6,2356
15883,11,PEMERINTAH ACEH,1106,ACEH TENGAH,GEMPA BUMI DAN TSUNAMI,26/12/2004,192,7,258,4005
17619,11,PEMERINTAH ACEH,1105,ACEH TIMUR,GEMPA BUMI,4/6/2000,99,0,0,0
18099,11,PEMERINTAH ACEH,1101,SIMEULUE,KLB,19/9/1978,82,0,0,0
17887,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEBAKARAN,25/6/1998,45,0,0,0
15633,11,PEMERINTAH ACEH,1101,SIMEULUE,GEMPA BUMI,28/3/2005,37,0,0,53541
2547,11,PEMERINTAH ACEH,1106,ACEH TENGAH,GEMPA BUMI,2/7/2013,35,0,2418,48563
14354,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR DAN TANAH LONGSOR,24/12/2006,28,0,0,53174
15881,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,GEMPA BUMI DAN TSUNAMI,26/12/2004,26,146,0,0
18101,11,PEMERINTAH ACEH,1107,ACEH BARAT,BANJIR,0/5/1978,24,0,0,4000
15634,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,GEMPA BUMI,28/3/2005,22,0,0,24742
18107,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,16/12/1977,21,0,12,1500
15327,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR,18/10/2005,20,0,251,3675
15572,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR DAN TANAH LONGSOR,27/4/2005,15,29,18,750
17270,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,BANJIR,19/11/2002,14,60,0,0
7485,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,10/3/2011,12,0,2,2
15896,11,PEMERINTAH ACEH,1172,KOTA SABANG,GEMPA BUMI DAN TSUNAMI,26/12/2004,12,2,64,3939
8960,11,PEMERINTAH ACEH,1113,GAYO LUES,BANJIR,6/6/2010,12,0,39,0
15894,11,PEMERINTAH ACEH,1117,BENER MERIAH,GEMPA BUMI DAN TSUNAMI,26/12/2004,10,0,3,1204
18183,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI,23/8/1936,9,0,20,0
18184,11,PEMERINTAH ACEH,1174,LHOKSEUMAWE,GEMPA BUMI,23/8/1936,9,0,20,0
15889,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,9,0,3,13600
18182,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI,5/9/1936,9,0,20,0
13235,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,TANAH LONGSOR,1/2/2008,8,1,0,0
2548,11,PEMERINTAH ACEH,1117,BENER MERIAH,GEMPA BUMI,2/7/2013,8,0,114,4776
4929,11,PEMERINTAH ACEH,1108,ACEH BESAR,GEMPA BUMI DAN TSUNAMI,11/4/2012,7,0,4,0
15878,11,PEMERINTAH ACEH,1101,SIMEULUE,GEMPA BUMI DAN TSUNAMI,26/12/2004,7,1,119,22849
15880,11,PEMERINTAH ACEH,1103,ACEH SELATAN,GEMPA BUMI DAN TSUNAMI,26/12/2004,6,0,0,17630
18102,11,PEMERINTAH ACEH,1108,ACEH BESAR,BANJIR,0/5/1978,5,0,0,0
16776,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,12/12/2003,5,0,0,0
14350,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR DAN TANAH LONGSOR,24/12/2006,5,0,0,3055
14353,11,PEMERINTAH ACEH,1113,GAYO LUES,BANJIR DAN TANAH LONGSOR,24/12/2006,5,0,7,2892
4307,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR,17/8/2012,4,2,0,761
13134,11,PEMERINTAH ACEH,1101,SIMEULUE,GEMPA BUMI,20/2/2008,4,0,88,24
14355,11,PEMERINTAH ACEH,1117,BENER MERIAH,BANJIR DAN TANAH LONGSOR,24/12/2006,4,3,13,553
18100,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,0/5/1978,3,0,0,0
2776,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,TANAH LONGSOR,10/5/2013,3,0,0,0
15890,11,PEMERINTAH ACEH,1113,GAYO LUES,GEMPA BUMI DAN TSUNAMI,26/12/2004,3,0,1,293
15635,11,PEMERINTAH ACEH,1103,ACEH SELATAN,GEMPA BUMI,28/3/2005,3,0,0,3533
11237,11,PEMERINTAH ACEH,1107,PIDIE,KEBAKARAN,1/5/2009,2,0,6,0
14799,11,PEMERINTAH ACEH,1106,ACEH TENGAH,TANAH LONGSOR,12/4/2006,2,0,0,275
17572,11,PEMERINTAH ACEH,1109,PIDIE,GEMPA BUMI,2/11/2000,2,0,127,0
17276,11,PEMERINTAH ACEH,1101,Simeulue,GEMPA BUMI,2/11/2002,2,0,51,0
17324,11,PEMERINTAH ACEH,1107,ACEH BARAT,BANJIR,2/5/2002,2,0,0,8140
14352,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR DAN TANAH LONGSOR,24/12/2006,2,0,0,176
10939,11,PEMERINTAH ACEH,1102,ACEH TENGGARA,BANJIR,27/7/2009,2,0,0,205
1273,11,"	PEMERINTAH ACEH",1106,ACEH TENGAH,TANAH LONGSOR,31/3/2014,2,0,1,0
12079,11,PEMERINTAH ACEH,1113,GAYO LUES,KEBAKARAN,5/1/2009,2,0,1,0
13501,11,PEMERINTAH ACEH,1108,ACEH BESAR,BANJIR,7/12/2007,2,0,0,0
8946,11,PEMERINTAH ACEH,1107,ACEH BARAT,BANJIR,9/6/2010,2,0,0,0
12210,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/12/2008,1,0,0,67836
17937,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/4/1998,1,0,0,0
10923,11,PEMERINTAH ACEH,1111,BIREUN,KEBAKARAN,1/8/2009,1,0,0,0
12029,11,PEMERINTAH ACEH,1113,GAYO LUES,KEBAKARAN,10/1/2009,1,0,0,0
12182,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,11/12/2008,1,0,5,49760
4930,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,GEMPA BUMI DAN TSUNAMI,11/4/2012,1,0,0,0
4931,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI DAN TSUNAMI,11/4/2012,1,0,0,0
4933,11,PEMERINTAH ACEH,1174,KOTA LHOKSEUMAWE,GEMPA BUMI DAN TSUNAMI,11/4/2012,1,0,0,0
11491,11,PEMERINTAH ACEH,1115,NAGAN RAYA,KEBAKARAN,13/3/2009,1,0,0,0
18036,11,PEMERINTAH ACEH,1113,GAYO LUES,GEMPA BUMI,15/11/1990,1,0,23,0
17796,11,PEMERINTAH ACEH,1105,ACEH TIMUR,PUTING BELIUNG,15/11/1998,1,0,0,0
123,11,"	PEMERINTAH ACEH",1103,ACEH SELATAN,TANAH LONGSOR,17/1/2015,1,0,0,0
9075,11,PEMERINTAH ACEH,1101,ACEH SELATAN,TANAH LONGSOR,17/5/2010,1,3,0,0
734,11,"	PEMERINTAH ACEH",1103,ACEH SELATAN,BANJIR,18/10/2014,1,0,0,0
17271,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,19/11/2002,1,1,0,0
3532,11,PEMERINTAH ACEH,1108,ACEH BESAR,BANJIR,2/1/2013,1,0,0,600
11004,11,PEMERINTAH ACEH,1103,ACEH TIMUR,KEBAKARAN,2/7/2009,1,0,0,0
10427,11,PEMERINTAH ACEH,1103,ACEH TIMUR,BANJIR,20/11/2009,1,0,0,17139
3372,11,PEMERINTAH ACEH,1109,PIDIE,GEMPA BUMI,22/1/2013,1,0,7,0
2225,11,PEMERINTAH ACEH,1109,PIDIE,GEMPA BUMI,22/10/2013,1,0,2,0
575,11,"	PEMERINTAH ACEH",1118,PIDIE JAYA,BANJIR,22/11/2014,1,0,0,200
13609,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,23/10/2007,1,0,0,2970
1300,11,"	PEMERINTAH ACEH",1172,KOTA SABANG,KECELAKAAN TRANSPORTASI,23/3/2014,1,0,0,0
10405,11,PEMERINTAH ACEH,1104,ACEH TENGAH,TANAH LONGSOR,25/11/2009,1,0,0,0
4445,11,PEMERINTAH ACEH,1101,SIMEULUE,GEMPA BUMI,25/7/2012,1,0,0,0
528,11,"	PEMERINTAH ACEH",1116,ACEH JAYA,BANJIR DAN TANAH LONGSOR,26/11/2014,1,0,0,0
17784,11,PEMERINTAH ACEH,1105,ACEH TIMUR,TANAH LONGSOR,27/11/1998,1,0,0,0
18028,11,PEMERINTAH ACEH,1111,ACEH UTARA,PERUBAHAN IKLIM,28/8/1991,1,0,9,0
12247,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,29/11/2008,1,0,0,36776
12249,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,29/11/2008,1,0,0,7892
12101,11,PEMERINTAH ACEH,1106,ACEH BESAR,KEBAKARAN,3/1/2009,1,0,0,0
8442,11,PEMERINTAH ACEH,1101,ACEH SELATAN,BANJIR,3/10/2010,1,0,1,0
2984,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,5/4/2013,1,0,0,0
12773,11,PEMERINTAH ACEH,1103,ACEH SELATAN,TANAH LONGSOR,5/6/2008,1,0,0,90
12642,11,PEMERINTAH ACEH,1103,ACEH SELATAN,KEBAKARAN,5/7/2008,1,0,2,192
10757,11,PEMERINTAH ACEH,1103,ACEH TIMUR,KEBAKARAN,5/9/2009,1,0,0,0
3885,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,BANJIR,6/11/2012,1,0,0,0
6334,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,GEMPA BUMI,6/9/2011,1,0,0,0
6335,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,GEMPA BUMI,6/9/2011,1,0,0,0
10736,11,PEMERINTAH ACEH,1174,KOTA LANGSA,KEBAKARAN,9/9/2009,1,0,0,0
18137,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,BANJIR,0/9/1975,0,0,0,0
16713,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/1/2004,0,0,0,0
16714,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/1/2004,0,0,0,0
15818,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/1/2005,0,0,0,0
15810,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/1/2005,0,0,0,0
15816,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/1/2005,0,0,0,0
15814,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/1/2005,0,0,0,0
15812,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/1/2005,0,0,0,0
15811,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/1/2005,0,0,0,0
15817,11,PEMERINTAH ACEH,1111,ACEH UTARA,KEKERINGAN,1/1/2005,0,0,0,0
15815,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/1/2005,0,0,0,0
15813,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/1/2005,0,0,0,0
15147,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/1/2006,0,0,0,0
15148,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/1/2006,0,0,0,0
15150,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/1/2006,0,0,0,0
15149,11,PEMERINTAH ACEH,1109,PIDIE,KEBAKARAN,1/1/2006,0,0,0,0
14279,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/1/2007,0,0,0,0
14277,11,PEMERINTAH ACEH,1106,ACEH TENGAH,BANJIR,1/1/2007,0,0,0,0
14278,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/1/2007,0,0,0,0
13364,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/1/2008,0,0,0,0
8038,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/1/2011,0,0,0,0
5853,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/1/2012,0,0,0,0
5855,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/1/2012,0,0,0,0
5856,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,BANJIR,1/1/2012,0,0,0,0
5854,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/1/2012,0,0,0,0
3543,11,PEMERINTAH ACEH,1107,ACEH BARAT,BANJIR,1/1/2013,0,0,0,0
3542,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR,1/1/2013,0,0,0,0
3546,11,PEMERINTAH ACEH,1173,KOTA LANGSA,BANJIR,1/1/2013,0,0,0,0
3547,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,BANJIR,1/1/2013,0,0,0,0
3544,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/1/2013,0,0,0,0
3545,11,PEMERINTAH ACEH,1118,PIDIE JAYA,BANJIR,1/1/2013,0,0,0,0
234,11,"	PEMERINTAH ACEH",1109,PIDIE,TANAH LONGSOR,1/1/2015,0,0,0,0
15344,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/10/2005,0,0,0,0
15341,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/10/2005,0,0,0,0
15343,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/10/2005,0,0,0,0
15342,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/10/2005,0,0,0,0
12446,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/10/2008,0,0,0,0
4038,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/10/2012,0,0,0,0
15288,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/11/2005,0,0,0,0
15287,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/11/2005,0,0,0,0
15286,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/11/2005,0,0,0,0
13583,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/11/2007,0,0,0,0
12340,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/11/2008,0,0,0,0
12339,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/11/2008,0,0,0,0
10508,11,PEMERINTAH ACEH,1105,ACEH BARAT,KEBAKARAN,1/11/2009,0,0,0,0
10509,11,PEMERINTAH ACEH,1114,ACEH JAYA,KEBAKARAN,1/11/2009,0,0,0,0
3912,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/11/2012,0,0,0,0
703,11,"	PEMERINTAH ACEH",1108,ACEH BESAR,TANAH LONGSOR,1/11/2014,0,0,0,0
704,11,"	PEMERINTAH ACEH",1112,ACEH BARAT DAYA,BANJIR,1/11/2014,0,0,0,575
15219,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/12/2005,0,0,0,0
15220,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/12/2005,0,0,0,0
15222,11,PEMERINTAH ACEH,1113,GAYO LUES,BANJIR,1/12/2005,0,0,0,0
15221,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/12/2005,0,0,0,0
14395,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/12/2006,0,0,0,0
13507,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,BANJIR,1/12/2007,0,0,0,0
13508,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,BANJIR,1/12/2007,0,0,0,0
12209,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/12/2008,0,0,0,506
12212,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/12/2008,0,0,0,0
12211,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/12/2008,0,0,0,0
12213,11,PEMERINTAH ACEH,1174,KOTA LHOKSEUMAWE,BANJIR,1/12/2008,0,0,0,0
10383,11,PEMERINTAH ACEH,1173,KOTA LHOKSEUMAWE,KEBAKARAN,1/12/2009,0,0,0,0
6035,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/12/2011,0,0,0,0
3764,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR,1/12/2012,0,0,0,0
3767,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/12/2012,0,0,0,0
3766,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/12/2012,0,0,0,0
3768,11,PEMERINTAH ACEH,1174,KOTA LHOKSEUMAWE,BANJIR,1/12/2012,0,0,0,0
3765,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/12/2012,0,0,0,0
15742,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/2/2005,0,0,0,0
15741,11,PEMERINTAH ACEH,1106,ACEH TENGAH,KEKERINGAN,1/2/2005,0,0,0,0
15740,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/2/2005,0,0,0,0
15744,11,PEMERINTAH ACEH,1111,ACEH UTARA,KEKERINGAN,1/2/2005,0,0,0,0
15743,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/2/2005,0,0,0,0
14985,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/2/2006,0,0,0,0
14988,11,PEMERINTAH ACEH,1111,ACEH UTARA,KEKERINGAN,1/2/2006,0,0,0,0
14987,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/2/2006,0,0,0,0
14986,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/2/2006,0,0,0,0
14142,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/2/2007,0,0,0,0
13236,11,PEMERINTAH ACEH,1106,ACEH TENGAH,KEKERINGAN,1/2/2008,0,0,0,0
13238,11,PEMERINTAH ACEH,1111,ACEH UTARA,KEKERINGAN,1/2/2008,0,0,0,0
13237,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/2/2008,0,0,0,0
7725,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,PUTING BELIUNG,1/2/2011,0,0,0,0
5467,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/2/2012,0,0,0,0
5469,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,BANJIR DAN TANAH LONGSOR,1/2/2012,0,0,0,0
5468,11,PEMERINTAH ACEH,1115,NAGAN RAYA,GEMPA BUMI,1/2/2012,0,0,0,18
3319,11,PEMERINTAH ACEH,1109,PIDIE,PUTING BELIUNG,1/2/2013,0,0,0,0
15678,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/3/2005,0,0,0,0
15679,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/3/2005,0,0,0,0
15680,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/3/2005,0,0,0,0
14894,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/3/2006,0,0,0,0
14065,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/3/2007,0,0,0,0
14064,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/3/2007,0,0,0,0
11562,11,PEMERINTAH ACEH,1102,ACEH TENGGARA,KEBAKARAN,1/3/2009,0,0,0,0
11563,11,PEMERINTAH ACEH,1173,KOTA LHOKSEUMAWE,KEBAKARAN,1/3/2009,0,0,0,13
9610,11,PEMERINTAH ACEH,1117,BENER MERIAH,PUTING BELIUNG,1/3/2010,0,0,0,0
7546,11,PEMERINTAH ACEH,1108,ACEH BESAR,BANJIR,1/3/2011,0,0,0,0
7547,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,1/3/2011,0,0,0,0
7548,11,PEMERINTAH ACEH,1118,PIDIE JAYA,BANJIR,1/3/2011,0,0,0,0
5247,11,PEMERINTAH ACEH,1106,ACEH TENGAH,BANJIR,1/3/2012,0,0,0,0
5248,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/3/2012,0,0,0,0
17034,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/4/2003,0,0,0,0
14821,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/4/2006,0,0,0,0
11373,11,PEMERINTAH ACEH,1118,PIDIE JAYA,KEBAKARAN,1/4/2009,0,0,0,0
7303,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,1/4/2011,0,0,0,1
7302,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/4/2011,0,0,0,0
5026,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,BANJIR,1/4/2012,0,0,0,0
5025,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,1/4/2012,0,0,0,0
3013,11,PEMERINTAH ACEH,1107,ACEH BARAT,PUTING BELIUNG,1/4/2013,0,0,0,0
13905,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/5/2007,0,0,0,0
12872,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/5/2008,0,0,0,0
11238,11,PEMERINTAH ACEH,1115,NAGAN RAYA,BANJIR,1/5/2009,0,0,0,706
11236,11,PEMERINTAH ACEH,1102,ACEH TENGGARA,KEBAKARAN,1/5/2009,0,0,0,0
4809,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/5/2012,0,0,0,0
4807,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/5/2012,0,0,0,0
4808,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/5/2012,0,0,0,0
6862,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/6/2011,0,0,0,0
6860,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/6/2011,0,0,0,0
6861,11,PEMERINTAH ACEH,1111,ACEH UTARA,KEKERINGAN,1/6/2011,0,0,0,0
4672,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR,1/6/2012,0,0,0,0
4674,11,PEMERINTAH ACEH,1175,KOTA SUBULUSSALAM,BANJIR,1/6/2012,0,0,0,0
4673,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/6/2012,0,0,0,0
4671,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/6/2012,0,0,0,0
4670,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/6/2012,0,0,0,0
17884,11,PEMERINTAH ACEH,1105,ACEH TIMUR,BANJIR,1/7/1998,0,0,0,0
13799,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,1/7/2007,0,0,0,0
12650,11,PEMERINTAH ACEH,1103,ACEH SELATAN,BANJIR,1/7/2008,0,0,0,0
12655,11,PEMERINTAH ACEH,1111,ACEH UTARA,BANJIR,1/7/2008,0,0,0,0
12653,11,PEMERINTAH ACEH,1110,BIREUEN,BANJIR,1/7/2008,0,0,0,0
12652,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/7/2008,0,0,0,0
12651,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/7/2008,0,0,0,0
12654,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/7/2008,0,0,0,0
6682,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/7/2011,0,0,0,0
6685,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/7/2011,0,0,0,0
6684,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/7/2011,0,0,0,0
6683,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/7/2011,0,0,0,0
4539,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/7/2012,0,0,0,0
4538,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/7/2012,0,0,0,0
4537,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/7/2012,0,0,0,0
15422,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/8/2005,0,0,0,0
15421,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEKERINGAN,1/8/2005,0,0,0,0
15424,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/8/2005,0,0,0,0
15423,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/8/2005,0,0,0,0
14567,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,KEKERINGAN,1/8/2006,0,0,0,0
14566,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/8/2006,0,0,0,0
12573,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/8/2008,0,0,0,0
10922,11,PEMERINTAH ACEH,1106,ACEH BESAR,KEBAKARAN,1/8/2009,0,0,0,0
10924,11,PEMERINTAH ACEH,1117,BENER MERIAH,KEBAKARAN,1/8/2009,0,0,0,71
10925,11,PEMERINTAH ACEH,1118,PIDIE JAYA,PUTING BELIUNG,1/8/2009,0,0,0,263
6524,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/8/2011,0,0,0,0
6526,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/8/2011,0,0,0,0
6525,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/8/2011,0,0,0,0
4356,11,PEMERINTAH ACEH,1108,ACEH BESAR,KEKERINGAN,1/8/2012,0,0,0,0
4359,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,KEKERINGAN,1/8/2012,0,0,0,0
4358,11,PEMERINTAH ACEH,1110,BIREUEN,KEKERINGAN,1/8/2012,0,0,0,0
4357,11,PEMERINTAH ACEH,1109,PIDIE,KEKERINGAN,1/8/2012,0,0,0,0
