No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
15088,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,PUTING BELIUNG,17/1/2006,0,0,0,0
17794,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,KEBAKARAN,17/11/1998,0,0,0,0
17737,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,17/2/1999,0,0,0,0
5352,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,17/2/2012,0,0,9,0
17920,52,NUSA TENGGARA BARAT,5271,MATARAM,KEBAKARAN,17/4/1998,0,0,0,0
12856,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,17/5/2008,0,0,0,0
17814,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,18/10/1998,0,0,0,0
604,52,"	NUSA TENGGARA BARAT",5201,LOMBOK BARAT,PUTING BELIUNG,18/11/2014,0,0,0,0
11295,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,TANAH LONGSOR,18/4/2009,0,0,0,0
15080,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,19/1/2006,0,0,0,0
15079,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,PUTING BELIUNG,19/1/2006,0,0,0,0
3220,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,19/2/2013,0,0,0,0
1324,52,"	NUSA TENGGARA BARAT",5271,KOTA MATARAM,PUTING BELIUNG,19/3/2014,0,0,0,0
1321,52,"	NUSA TENGGARA BARAT",5203,LOMBOK TIMUR,PUTING BELIUNG,19/3/2014,0,0,0,0
1322,52,"	NUSA TENGGARA BARAT",5204,SUMBAWA,PUTING BELIUNG,19/3/2014,0,0,0,0
1323,52,"	NUSA TENGGARA BARAT",5207,SUMBAWA BARAT,PUTING BELIUNG,19/3/2014,0,0,0,0
16712,52,NUSA TENGGARA BARAT,5271,KOTA MATARAM,GEMPA BUMI,2/1/2004,0,0,3,0
16709,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,GEMPA BUMI,2/1/2004,0,0,22,3677
